"PoolSize","prob_0_01","prob_0_02","prob_0_03","prob_0_04","prob_0_05","prob_0_06","prob_0_07","prob_0_08","prob_0_09","prob_0_10","prob_0_11","prob_0_12","prob_0_13","prob_0_14","prob_0_15","prob_0_16","prob_0_17","prob_0_18","prob_0_19","prob_0_20","prob_0_21","prob_0_22","prob_0_23","prob_0_24","prob_0_25","prob_0_26","prob_0_27","prob_0_28","prob_0_29","prob_0_30","prob_0_31","prob_0_32","prob_0_33","prob_0_34","prob_0_35","prob_0_36","prob_0_37","prob_0_38","prob_0_39","prob_0_40","prob_0_41","prob_0_42","prob_0_43","prob_0_44","prob_0_45","prob_0_46","prob_0_47","prob_0_48","prob_0_49","prob_0_50","prob_0_51","prob_0_52","prob_0_53","prob_0_54","prob_0_55","prob_0_56","prob_0_57","prob_0_58","prob_0_59","prob_0_60","prob_0_61","prob_0_62","prob_0_63","prob_0_64","prob_0_65","prob_0_66","prob_0_67","prob_0_68","prob_0_69","prob_0_70","prob_0_71","prob_0_72","prob_0_73","prob_0_74","prob_0_75","prob_0_76","prob_0_77","prob_0_78","prob_0_79","prob_0_80","prob_0_81","prob_0_82","prob_0_83","prob_0_84","prob_0_85","prob_0_86","prob_0_87","prob_0_88","prob_0_89","prob_0_90","prob_0_91","prob_0_92","prob_0_93","prob_0_94","prob_0_95","prob_0_96","prob_0_97","prob_0_98","prob_0_99","prob_1_00"
2,5198.62,5396.1,5592.72,5774.92,5975,6169.78,6346.12,6538,6720.96,6909.42,7083.54,7249.7,7434.84,7613.98,7763.28,7949.56,8111.86,8275.64,8447.26,8592.7,8761.76,8924.64,9069.36,9229.88,9376.52,9528.04,9672.76,9819.02,9958.62,10109.54,10236.14,10388.22,10513,10652.2,10793.08,10909.94,11042.78,11155.16,11287.3,11392.9,11517.7,11646.42,11749.84,11864.98,11976.18,12079.02,12186.3,12295.18,12401.86,12504.46,12597.36,12699.92,12794.08,12891.22,12968.42,13058.28,13155.44,13236.92,13315.88,13410.16,13482.82,13543.3,13626.56,13704.02,13776.02,13844.38,13910.82,13982.52,14035.24,14098.6,14159.82,14218.56,14268.44,14328.4,14376.78,14425.04,14475.08,14513.44,14558.68,14600.76,14636.42,14676.5,14713.2,14741.08,14775.96,14810,14834.6,14860.34,14877.36,14899.04,14917.08,14935.12,14952.38,14964.86,14974.68,14984.02,14989.94,14996,14998.8,15000
3,3636.57,3915.42,4218.45,4487.88,4763.1,5030.97,5292.12,5558.82,5778.84,6037.86,6276.84,6519.72,6768.84,6976.02,7203.18,7426.23,7632.36,7812.72,8012.01,8209.26,8402.43,8588.58,8762.97,8942.55,9101.94,9282.27,9438.78,9611.16,9769.14,9907.02,10040.82,10184.76,10311.39,10448.43,10586.97,10700.82,10841.7,10956.06,11072.28,11179.35,11267.07,11389.65,11482.77,11580,11665.89,11758.8,11835.45,11929.32,12003.42,12074.97,12166.38,12225.93,12291.87,12374.46,12424.68,12482.07,12541.17,12598.98,12647.25,12691.59,12739.17,12786.69,12831.54,12872.82,12904.23,12941.01,12973.95,13003.05,13031.07,13056.9,13087.23,13112.31,13133.61,13155.36,13169.43,13193.25,13208.07,13224.87,13240.26,13254.33,13265.16,13275,13285.41,13291.38,13298.16,13304.49,13311.12,13314.6,13319.28,13322.46,13324.98,13326.15,13328.67,13329.45,13330.59,13331.49,13331.67,13331.88,13332,13332
4,2894.68,3283.6,3635.68,4003.4,4365.24,4695.84,5010.96,5315.04,5630.44,5948.04,6228.52,6506.52,6763.96,7051.04,7272.72,7499.44,7755.36,7974.64,8200.88,8416.4,8603.72,8810.24,8996.2,9158.4,9327.28,9489.32,9686.84,9802.36,9954.8,10084.96,10230.72,10361.84,10487.84,10602.2,10716.44,10818.04,10937.52,11016.64,11107.64,11199.04,11291.76,11371.16,11435.08,11513.84,11588.92,11655.6,11716.36,11764.84,11826.08,11871.76,11920.92,11963,12016.24,12046.76,12086.12,12118.72,12157.8,12191.68,12221.44,12239.84,12266.16,12291.6,12313.12,12334.76,12349.96,12370.56,12379.48,12395.6,12407.96,12416.88,12429.24,12437.52,12444.88,12453.88,12462.08,12466,12471.32,12476.32,12480.76,12484.76,12486.12,12489.72,12491.84,12493.72,12494.76,12495.92,12496.76,12498.08,12498.8,12499.04,12499.36,12499.48,12499.68,12499.96,12499.92,12500,12500,12500,12500,12500
5,2490.6,2961.55,3416.9,3846.4,4272.4,4650.9,5047.05,5409.45,5737.15,6104.9,6414.5,6741.5,7022.7,7295.3,7555.3,7802.6,8060.55,8275.25,8511.65,8723.8,8911.1,9110.4,9308.85,9455.35,9628.65,9789,9930.8,10082.7,10200,10331.45,10435.15,10547.3,10649.1,10754.65,10834,10929.55,10998.85,11084.85,11161.35,11211.75,11292.3,11340.35,11406.6,11440.55,11490.45,11533.45,11583.1,11618.1,11654.65,11688.5,11708.7,11749.4,11768.3,11794.9,11815.65,11833.85,11852.4,11868,11882.7,11895.4,11906.15,11920.55,11928.75,11937.7,11948.9,11956,11961.45,11967.15,11970.85,11974.85,11979.8,11981.65,11985.2,11988.25,11989.85,11993.15,11993.55,11995.45,11996.4,11996.9,11997.55,11997.95,11998.55,11999.25,11999.2,11999.35,11999.75,11999.55,11999.85,11999.95,11999.9,12000,11999.9,12000,12000,12000,12000,12000,12000,12000
6,2262.52,2811.88,3341.92,3832.78,4319.86,4769.08,5193.28,5617.24,5972.68,6329.5,6694.9,7022.92,7355.38,7613.14,7893.34,8170.3,8377.66,8644.24,8825.92,9052.24,9218.98,9420.1,9568.48,9721.66,9869.92,10005.52,10155.46,10234.3,10366.9,10491.58,10583.08,10678.72,10768.06,10816.96,10911.7,10976.92,11036.02,11096.26,11135.86,11205.22,11242.24,11279.2,11314.6,11354.68,11385.4,11413.24,11436.04,11462.62,11481.7,11504.98,11521.96,11540.38,11557.24,11570.08,11578,11589.22,11599.72,11610.04,11615.56,11620.18,11623.78,11631.88,11639.86,11641.3,11644.42,11646.7,11648.86,11650.3,11652.7,11654.74,11656.36,11657.44,11659.48,11658.64,11660.26,11659.84,11661.04,11660.44,11660.98,11661.04,11661.46,11661.58,11661.64,11661.88,11661.88,11662,11661.88,11662,11661.94,11662,11662,11662,11662,11662,11662,11662,11662,11662,11662,11662
7,2094.26,2754.01,3375.19,3903.83,4441.29,4942.7,5397.42,5835.27,6270.04,6634.88,6989.08,7325.29,7694.82,7923.72,8225.14,8499.33,8713.53,8945.16,9113.02,9332.54,9506.77,9645.02,9811.9,9963.8,10080.35,10217.97,10313.8,10401.58,10522.54,10592.82,10677.8,10754.59,10820.39,10879.96,10951.29,10983.28,11032.49,11068.54,11104.52,11142.11,11177.46,11203.57,11224.64,11250.61,11272.24,11288.48,11309.97,11317.11,11334.82,11347,11356.52,11363.8,11375.98,11381.58,11384.8,11392.71,11395.16,11401.53,11403.84,11408.39,11410.35,11411.54,11413.15,11416.23,11417.7,11417.56,11419.45,11420.43,11421.2,11421.69,11422.53,11423.37,11422.67,11422.81,11423.44,11423.58,11423.58,11423.58,11423.58,11423.86,11423.93,11423.93,11424,11423.86,11423.93,11424,11424,11424,11424,11424,11424,11424,11424,11424,11424,11424,11424,11424,11424,11424
8,2019.28,2737.92,3411.04,4013.92,4632.88,5175.76,5664.16,6095.6,6538.56,6953.12,7320.64,7654.64,7970.96,8258.16,8549.04,8792.88,9009.12,9208,9372.72,9572.8,9749.6,9876.64,10018.72,10127.92,10249.92,10358,10446.88,10513.92,10594.16,10671.92,10729.84,10799.44,10840.24,10884.88,10925.36,10979.52,11002,11026.48,11060.88,11076.4,11104.24,11123.2,11135.28,11150,11166.64,11178.72,11187.2,11197.6,11201.2,11212,11214.8,11220.64,11226.08,11229.28,11231.28,11237.52,11238.64,11241.28,11242.48,11243.28,11246.08,11245.44,11245.28,11247.04,11247.92,11248.24,11248.4,11248.8,11249.36,11249.68,11249.36,11249.84,11249.84,11249.76,11250,11249.84,11249.92,11249.92,11250,11250,11249.92,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250
9,1957.27,2765.02,3470.26,4173.7,4818.37,5385.73,5914.93,6367.81,6807.73,7264.75,7613.59,7941.01,8251.51,8558.32,8771.53,9033.7,9224.32,9424.75,9623.2,9769.18,9921.91,10045.12,10173.19,10255.18,10356.43,10440.22,10521.4,10577.02,10645.15,10706.89,10757.29,10801.66,10836.22,10873.75,10907.05,10918.57,10954.66,10970.23,10991.92,11007.85,11017.48,11036.11,11043.13,11053.39,11060.14,11071.21,11077.33,11082.28,11084.53,11090.11,11095.51,11096.14,11098.75,11100.46,11102.62,11104.96,11105.86,11105.86,11106.31,11107.84,11107.66,11109.1,11108.83,11109.28,11109.64,11109.28,11109.73,11109.46,11109.64,11110,11109.82,11109.73,11110,11110,11110,11110,11109.91,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
10,1935.3,2831.6,3579,4371,4998.3,5659.5,6157.4,6671.7,7105.2,7505.1,7853.7,8190.6,8531.6,8778.3,9034.9,9254.3,9451.7,9650,9787.3,9928.7,10051.4,10149.6,10259.7,10360.8,10436,10510.9,10572,10630.1,10672.9,10714.8,10749.8,10788.1,10820.5,10839,10866.7,10884.2,10898.9,10915,10928.8,10937,10949.6,10957.2,10961.2,10969.1,10972.6,10979.7,10980.3,10986.2,10988.7,10991.4,10990.9,10994.4,10994.2,10995.5,10996,10997.4,10997.7,10997.7,10998.8,10999.2,10999.5,10999.7,10999.7,10999.4,10999.5,10999.7,11000,10999.8,10999.9,10999.9,11000,11000,10999.8,10999.9,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
11,1959.72,2897.47,3748.32,4488.51,5179.86,5831.17,6380.62,6937.33,7353.68,7788.29,8123.57,8460.72,8720.1,8973.87,9238.75,9416.4,9631.78,9795.46,9929.88,10041.53,10174.63,10262.74,10340.95,10425.1,10480.76,10539.61,10597.91,10642.57,10677.22,10709.12,10741.24,10757.19,10786.45,10807.13,10820.33,10833.64,10845.19,10856.52,10866.53,10873.68,10879.18,10882.92,10889.52,10892.05,10892.93,10897.44,10898.98,10899.97,10901.95,10903.16,10903.71,10904.26,10905.91,10906.35,10905.91,10907.12,10907.67,10906.9,10907.45,10907.23,10907.56,10907.78,10907.67,10907.67,10907.89,10908,10907.78,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908,10908
